camp_id,camp_name,audience,language,shot_number,timecode,visual_description,on_screen_text,narration_line,gamma_prompt
CAMP01,My Big Project — Going Deeper Camp,Gifted 4th Grader,EN,1,0:00–0:06,"Close-up: a girl's hand closing a finished homework folder on a kitchen table. The paper has checkmarks. She pushes it aside.",,(none),"Close-up of a young girl's hand closing a finished homework folder on a kitchen table, warm evening light, cozy NCW home setting, photorealistic"
CAMP01,My Big Project — Going Deeper Camp,Gifted 4th Grader,EN,2,0:06–0:11,"Pull back: Sophia (age 9, brown hair) stares out a window. A small stuffed wolf sits on the windowsill.",,And she's already bored.,"Young girl age 9 staring thoughtfully out a window at dusk, small toy wolf on windowsill, warm amber light, photorealistic"
CAMP01,My Big Project — Going Deeper Camp,Gifted 4th Grader,EN,3,0:11–0:18,Sophia turns to her laptop. Types something. Her face shifts from restless to curious.,,But Sophia didn't scroll her phone. She had a question.,"Young girl at kitchen table laptop, typing with focused curious expression, soft warm light, NCW home, photorealistic shallow depth of field"
CAMP01,My Big Project — Going Deeper Camp,Gifted 4th Grader,EN,4,0:18–0:28,"Screen insert: Gemini chat. Prompt: 'Ask me questions. Don't give me the answers. Those are mine.' AI responds with 5 questions.","""Ask me questions. The answers are mine.""",She told it: Ask me questions. Don't give me the answers. Those are mine.,"Laptop screen close-up showing a child's typed prompt in a Gemini-style AI chat interface, warm screen glow, photorealistic"
CAMP01,My Big Project — Going Deeper Camp,Gifted 4th Grader,EN,5,0:28–0:42,"Montage — 3 quick cuts: (1) Sophia writing in a notebook. (2) Sophia at library pulling a wolf book. (3) Sophia reading an email reply on phone.",She checked it herself.,She answered every one in her own words. She emailed the Washington Wolf Project. She went to the library.,"Young girl at a public library pulling a book from the shelf, warm library light, genuine and unstaged, photorealistic"
CAMP01,My Big Project — Going Deeper Camp,Gifted 4th Grader,EN,6,0:42–0:55,"Sophia gluing photos to a poster board. Hand-drawn wolf. Colored pencils scattered. She holds it up — proud.",The ideas are hers.,She built a poster. Sophia's AI did the hard searching. Sophia did the thinking.,"Young girl proudly holding up a homemade poster about wolves, hand-drawn illustrations, colored pencils on table, warm kitchen light"
CAMP01,My Big Project — Going Deeper Camp,Gifted 4th Grader,EN,7,0:55–1:05,"Charlotte/Tina avatar — warm, direct to camera. Simple classroom background.",That's the rule.,"That's the rule. That's the camp.","Friendly female teacher in her 30s speaking directly to camera in a warm classroom setting, photorealistic"
CAMP01,My Big Project — Going Deeper Camp,Gifted 4th Grader,EN,8,1:05–1:20,"Wide shot: diverse classroom — several kids at Chromebooks, teacher circling. Handwritten sign: 'AI asks. YOU think.'",For every kid who finishes early and wants more.,For kids like Sophia — and the gifted student in your classroom —,"Wide shot of a diverse elementary classroom, students at Chromebooks engaged individually, teacher walking among them, handwritten sign on wall"
CAMP01,My Big Project — Going Deeper Camp,Gifted 4th Grader,EN,9,1:20–1:30,Final card: dark forest-green background. AiGovOps + NCW logos. CTA text + QR code.,Sign the pledge → aigovops-foundation.github.io/aigovops-ncw-ai-camp,Sign the pledge at aigovops-foundation.github.io/aigovops-ncw-ai-camp,"Minimalist title card, dark forest-green background, white sans-serif typography, logos, QR code"
CAMP01,Mi Gran Proyecto — Campamento de Profundidad,Gifted 4th Grader,ES,1,0:00–0:06,"Primer plano: la mano de una niña cerrando una carpeta de tarea terminada en la mesa de la cocina.",,(ninguno),"Close-up of a young girl's hand closing a finished homework folder on a kitchen table, warm evening light, cozy NCW home setting, photorealistic"
