video_id,video_name,audience,language,shot_number,timecode,visual_description,on_screen_text,narration_line,gamma_prompt
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,EN,1,0:00–0:06,"Black screen. Single piano note. Extreme close-up: a young Latina girl's hand opens a Chromebook in a dim classroom at dawn. The screen lights her face. One window — the Columbia River barely visible through the glass.",(none),"It's a Tuesday morning. In a classroom in Wenatchee.","Extreme close-up of a young Latina girl's hands opening a Chromebook in a dim K-8 classroom at dawn, one window with Columbia River visible outside, soft warm light, photorealistic, cinematic"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,EN,2,0:06–0:14,"Over-the-shoulder on María — AI tutor interface glowing on screen. She leans forward. Her expression shifts from uncertain to focused.",(none),"A girl named María has been behind in algebra for two years. Today — she gets it.","Over-the-shoulder shot of a young Latina girl at a school desk focused on a glowing laptop AI tutor interface, warm lamplight, photorealistic, shallow depth of field"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,EN,3,0:14–0:26,"Wide classroom: teacher circling 20 desks, handwritten sign on wall: 'AI is a partner. The thinking is yours.' Warm, lived-in, real NCW school energy.",(none),"An AI tutor remembered what she got wrong on Monday. It asked her questions instead of giving answers.","Wide shot of a real K-8 classroom in a small Pacific Northwest town, students working on laptops, teacher walking among them, handwritten poster on wall, warm afternoon light, authentic documentary style"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,EN,4,0:26–0:35,"Push in on María's face — she's nodding. Then: a quick cut to her test score on paper, circled in green marker: +34%. Her teacher's hand in the frame, making the circle.",+34% (green large fades in),"After twenty-two minutes a day, for three months — she scored thirty-four percent higher than her peers.","Close-up of a student's test paper showing strong results, a teacher's hand circling a high score in green marker, warm desk lighting, photorealistic"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,EN,5,0:35–0:43,"María looks off-camera. She looks like an engineer. Full face reveal — determined, quiet, not performing.",(none),"She wants to be an engineer. For the first time — she thinks she can.","Close-up portrait of a young Latina girl in a classroom, looking off-camera with a thoughtful and determined expression, soft window light, photorealistic, warm tones"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,EN,6,0:43–0:52,"Color temperature shifts — slightly cooler. A different classroom. A boy (Jake) hunched over a laptop. His screen reflects in his glasses. The vibe is distracted, slightly guilty.",(none),"The same week. A kid named Jake used a chatbot to write seven essays.","A teenage boy hunched over a laptop in a classroom, his expression distracted and slightly guilty, screen reflected in his glasses, slightly cooler lighting than previous shots, photorealistic"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,EN,7,0:52–1:02,"A phone screen — a social media feed, blurred faces. Then: an empty desk in a classroom. A backpack still hanging on the chair back. The desk's chair is pushed in.",(none — let the empty desk land),"A classmate's image was weaponized in four minutes with a free app on a fourteen-year-old's phone. She stopped coming to school.","Empty school desk with a backpack still hanging on the chair, the rest of the classroom bustling with other students, the empty chair carrying emotional weight, documentary style, warm-cool contrast"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,EN,8,1:02–1:10,"Bar chart: Jake's critical-thinking score over 4 weeks, declining. Simple, handmade-looking. The number -15.3% appears.",-15.3% (muted red),"And Jake — after four weeks of letting AI decide what was true — lost fifteen percent of his own ability to think critically. He didn't know it was happening.","Simple hand-drawn style bar chart on a whiteboard showing a declining trend over 4 weeks, a teacher's marker highlighting the drop, -15.3% labeled in red, documentary close-up"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,EN,9,1:10–1:20,"Wide shot — Interior of the Wenatchee Convention Center ballroom, rows of seats, a stage. Empty — about to be filled. Camera pushes slowly toward the stage.","NORTH CENTRAL WASHINGTON (white lower third fades in slowly)","Both of these stories are real. Both happened in American schools this year. This room — right here, right now — is where North Central Washington decides which story becomes the default.","Wide interior shot of a convention center ballroom — rows of empty seats facing an empty stage, warm stage lighting, the room about to be filled, cinematic push-in, hopeful and weighty"
V1,Centerpiece Plenary Trailer,Educators / SMB owners / Community / All 300,EN,10,1:20–1:30,"Quick montage — three 2-second cuts: a teacher at a laptop Sunday morning smiling; an SMB owner reading an AI-drafted email nodding; a nonprofit leader at a whiteboard with three sticky notes labeled 'AI says / We checked / We decided.'","What if... (italic appears during montage)","What if AI asked your struggling student the right question instead of giving them the answer?","A relaxed teacher at a kitchen table on Sunday morning, smiling while reviewing a laptop, coffee nearby, warm natural light, authentic, not staged"
